member_id,user,book,publisher,gender,id_authors,id,stage_id,name
res_partner_michelle,Michelle Reed Flowers,Fatal Voyage,Pocket,cuento,Kathy Reichs,library_checkout_P0000159,Borrowed,P0000159
res_partner_melissa,Melissa Singleton Reed,El gust amarg de la cervesa (CollecciÃƒÂ³ ClÃƒÂ ssica),Columna,novela,Isabel-Clara SimÃƒÂ³,library_checkout_P0000160,Borrowed,P0000160
res_partner_dawn,Dawn Bryant Martinez,White Teeth,Random House,ensayo,Zadie Smith,library_checkout_P0000161,Borrowed,P0000161
res_partner_casey,Casey Lloyd Jensen,Globalhead,Spectra Books,crónica,Bruce Sterling,library_checkout_P0000162,Borrowed,P0000162
res_partner_sylvia,Sylvia Wise Gonzales,Angels &amp,Dan Brown,cuento,Demons,library_checkout_P0000163,Borrowed,P0000163
res_partner_sheri,Sheri Haynes Crosby,Frommer's 96 Frugal Traveler's Guides: Europe from $50 a Day (Serial),John Wiley &amp,ensayo,Alice Garrard,library_checkout_P0000164,Borrowed,P0000164
res_partner_alan,Alan Dominguez Stewart,Stately Pursuits,Griffin Trade Paperback,égloga,Katie Fforde,library_checkout_P0000165,Returned,P0000165
res_partner_tami,Tami Burke Cooke,My Friend Flicka,Perennial,ensayo,Mary O'Hara,library_checkout_P0000166,New,P0000166
res_partner_bruce,Bruce Whitaker Lewis,Snow Falling on Cedars,Vintage Books USA,cuento,David Guterson,library_checkout_P0000167,New,P0000167
res_partner_lawrence,Lawrence Brooks Chapman,Shopgirl,Hyperion,novela,Steve Martin,library_checkout_P0000168,New,P0000168
res_partner_michelle,Michelle Reed Flowers,Der illustrierte Mann.,Diogenes,novela,Ray Bradbury,library_checkout_P0000169,New,P0000169
res_partner_carl,Carl Hawkins Wood,Shadowmancer,Putnam Publishing Group,égloga,G. P. Taylor,library_checkout_P0000170,Canceled,P0000170
res_partner_keith,Keith Campbell Webb,Zlateh the Goat and Other Stories,HarperCollins Publishers,ensayo,Isaac Bashevis Singer,library_checkout_P0000171,Borrowed,P0000171
res_partner_kristen,Kristen Washington Mendoza,Judge Judy Sheindlin's Win or Lose by How You Choose,HarperCollins,carta,Judge Judy Sheindlin,library_checkout_P0000172,Borrowed,P0000172
res_partner_whitney,Whitney Greene Davis,Once a Thief,Bantam Books,cuento,Kay Hooper,library_checkout_P0000173,Borrowed,P0000173
res_partner_barbara,Barbara Peterson Tucker,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder",Free Press,égloga,Ann Rule,library_checkout_P0000174,Canceled,P0000174
res_partner_natalie,Natalie Fuentes Zhang,Simple Wicca (Simple Wisdom Book),Castle Books,ensayo,Michele Morgan,library_checkout_P0000175,Borrowed,P0000175
res_partner_katherine,Katherine Williams Chen,The Thorn Birds (Modern Classics),Wings,novela,Colleen McCullough,library_checkout_P0000176,New,P0000176
